PK,FK_ISOLATION,FK_MEDIA,Comment
1,1,3,
2,2,3,
3,3,7,
4,4,9,
5,5,10,
6,6,12,
7,7,3,
8,7,12,
9,8,3,
10,9,12,
11,10,9,
12,10,12,
13,11,5,
14,11,12,
15,13,5,
16,13,14,
17,14,12,
18,15,12,
19,17,2,
20,17,7,
21,18,3,
22,19,3,
23,19,7,
24,19,14,
25,20,6,
26,21,9,
27,22,3,
28,22,7,
29,23,3,
30,23,7,
31,24,2,
32,24,3,
33,25,2,
34,25,7,
35,26,3,
36,26,7,
37,28,3,
38,29,7,
39,30,14,
40,31,3,
41,32,7,
42,33,14,
43,34,3,
44,35,7,
45,36,9,
46,37,14,
47,38,8,
48,38,14,
49,40,3,
50,41,9,
51,42,7,
52,42,12,
53,43,14,
54,46,3,
55,47,7,
56,48,14,
57,49,3,
58,50,9,
59,51,14,
60,52,3,
61,53,1,
62,53,8,
63,53,15,
64,54,9,
65,55,12,
66,56,14,
67,57,3,
68,58,8,
69,58,13,
70,58,16,
71,59,9,
72,60,14,
73,61,3,
74,62,7,
75,63,14,
76,64,4,
77,65,9,
78,66,9,
79,67,9,
80,68,9,
81,69,3,
82,70,9,
83,71,11,
84,72,3,
85,73,9,
86,74,9,
