PK,Family,Wikidata
1,Acidaminococcaceae,Q15220647
2,Atopobiaceae,Q26267698
3,Bacillaceae,Q149098
4,Bacteroidaceae,Q4840030
5,Barnesiellaceae,Q107503646
6,Bifidobacteriaceae,Q4904765
7,Clostridiaceae,Q592153
8,Coriobacteriaceae,Q5170706
9,Desulfovibrionaceae,Q16742057
10,Eggerthellaceae,Q26211110
11,Enterobacteriaceae,Q380136
12,Enterococcaceae,Q138564
13,Erysipelotrichaceae,Q16175010
14,Eubacteriaceae,Q3734055
15,Hyphomicrobiaceae,Q5958939
16,Lachnospiraceae,Q3825240
17,Lactobacillaceae,Q578677
18,Marinifilaceae,Q26220413
19,Oscillospiraceae,Q20993624
20,Paenibacillaceae,Q149385
21,Peptoniphilaceae,Q26220195
22,Prevotellaceae,Q7242441
23,Rikenellaceae,Q7334019
24,Ruminococcaceae,Q18674581
25,Selenomonadaceae,Q26700310
26,Staphylococcaceae,Q149116
27,Streptococcaceae,Q140018
28,Sutterellaceae,Q16939439
29,Tannerellaceae,Q107503639
30,Veillonellaceae,Q15220654
