PK,Genus,Wikidata,FK_TAX_FAM,Comment
1,gen.,,,
2,gen. nov,,,
3,Adlercreutzia ,Q3883709,10,
4,﻿Aedoeadaptatus,,21,(first proposed in 2021; not in wikidata jet)
5,Agathobacter,Q27438818,16,
6,﻿Agathobaculum,Q29566625,7,
7,Alistipes ,Q4727356,23,
8,﻿Alitiscatomonas,,16,(first proposed in 2021; not in wikidata jet)
9,Anaerobutyricum,,16,(first valid publication in 2018; not in wikidata jet?)
10,Anaerostipes,Q3614922,16,
11,﻿Anthropogastromicrobium,,16,(first proposed in 2021; not in wikidata jet)
12,Bacillus ,Q212032,3,
13,Bacteroides,Q133186,4,
14,Barnesiella,Q12195679,5,
15,Bifidobacterium ,Q132656,6,
16,Bilophila,Q27438382,9,
17,Blautia,Q26208642,16,
18,﻿Bovifimicola,,16,(first proposed in 2021; not in wikidata jet)
19,﻿Brotolimicola,,16,(first proposed in 2021; not in wikidata jet)
20,﻿Brotomerdimonas,,32,(first proposed in 2021; not in wikidata jet)
21,Brotonthovivens,,16,(first proposed in 2021; not in wikidata jet)
22,Butyricimonas,Q26209985,18,
23,Clostridium,Q327663,7,
24,Collinsella,Q5147424,8,
25,Coprococcus,Q3693215,16,
26,Desulfovibrio,Q15846377,9,
27,Dialister,Q3706664,30,
28,Dorea,Q3714220,16,
29,Dysosmobacter,,16,(first proposed in 2019; not in wikidata jet)
30,Eggerthella ,Q5347900,10,
31,Eisenbergiella ,Q20739268,16,
32,Enterocloster,,16,(prev. Clostridium; not in wikidata jet?)
33,Enterococcus ,Q517258,12,
34,Escherichia,Q311055,11,
35,Eubacterium,Q5405346,16,
36,Faecalibacillus,Q65051383,13,
37,Faecalibacterium,Q3738294,16,
38,﻿Faecalicatena,Q48974020,16,
39,Faecalimonas,,16,(first valid publication in 2017; not in wikidata jet?)
40,Flavonifractor,Q26225921,16,
41,Fusicatenibacter,Q26219628,16,
42,﻿Gallintestinimicrobium,,16,(first proposed in 2021; not in wikidata jet)
43,Gemmiger,Q19597278,16,
44,﻿Hominimerdicola,,16,(first proposed in 2021; not in wikidata jet)
45,﻿Hoministercoradaptatus,,16,(first proposed in 2021; not in wikidata jet)
46,Huintestinicola,,16,(first proposed in 2021; not in wikidata jet)
47,Hungatella,Q26212605,16,
48,Intestinimonas,Q26225929,16,
49,Lachnospira,Q3825234,16,
50,Lacrimispora,,16,(first valid publication in 2020; not in wikidata jet?)
51,Lactobacillus,Q1061596,17,
52,﻿Laedolimicola,,16,(first proposed in 2021; not in wikidata jet)
53,Lawsonibacter,Q63432155,16,
54,Mediterraneibacter,,16,(first valid publication in 2018; not in wikidata jet?)
55,Megasphaera,Q3853942,30,
56,Mesosutterella ,,28,(first valid publication in 2018; not in wikidata jet?)
57,Muricoprocola,,16,(first proposed in 2021; not in wikidata jet)
58,﻿Muriventricola,,16,(first proposed in 2021; not in wikidata jet)
59,Odoribacter,Q26269553,18,
60,Olsenella,Q26267700,2,
61,Oscillibacter,Q20993621,16,
62,Paenibacillus ,Q1952884,20,
63,Parabacteroides,Q21219470,29,
64,Parolsenella,Q63363310,2,
65,Peptoniphilus,Q3899435,21,
66,Phascolarctobacterium,Q19653283,1,
67,Phocaeicola,Q26270958,4,
68,Porcipelethomonas,,16,(first proposed in 2021; not in wikidata jet)
69,Prevotella ,Q7242440,22,
70,Roseburia,Q3941444,16,
71,Ruminococcus,Q288892,16,
72,Ruthenibacterium,Q29566597,16,
73,Selenomonas ,Q3954750,25,
74,Senegalimassilia,Q26267702,10,
75,Staphylococcus,Q199695,26,
76,Streptococcus,Q190161,27,
77,﻿Suilimivivens,,16,(first proposed in 2021; not in wikidata jet)
78,Suonthocola,,16,(first proposed in 2021; not in wikidata jet)
79,Sutterella,Q16992872,28,
80,Terrimonas,Q26295347,31,
81,Veillonella,Q7918682,30,
82,Fournierella ,Q62628152,16,
83,Kineothrix ,,16,(first proposed in 2017; not in wikidata jet)
84,Lachnotalea ,Q27438823,16,
85,Robinsoniella ,Q27438825,16,
86,Shigella ,Q131029,11,
87,Sporobacter ,Q3966996,7,
88,Subdoligranulum ,Q3976493,16,
89,Paraprevotella,Q26270782,22,
90,Agathobaculum ,Q29566625,16,
