PK,Species
1,sp.
2,sp. nov
3,"""sp. nov"""
4,aceti
5,acetigenes
6,acetigignens
7,adolescentis
8,aerofaciens
9,aldenense
10,ammoniilytica
11,﻿ammoniilyticum
12,amylophila
13,﻿amylophilus
14,anaerobia
15,animalis
16,asaccharolyticus
17,bifidum
18,bolteae
19,bromii
20,butyrica
21,caccae
22,catenulatum
23,cellulolyticus
24,cellulosilyticus
25,citroniae
26,clara
27,clostridioforme
28,coli
29,comes
30,copri
31,coprocola
32,dispar
33,distasonis
34,dorei
35,eligens
36,equolifaciens 
37,eutactus 
38,faecale
39,faecium
40,fergusonii
41,fibrisolvens
42,formicigenerans
43,formicilis
44,fragilis
45,galacturonicus
46,gnavus
47,goldsteinii
48,hadrus
49,hallii
50,hansenii
51,hathewayii
52,hominis
53,indica
54,innocuum
55,inops
56,intestinalis
57,intestinihominis
58,inulinivorans
59,invisus
60,lacrimalis
61,lactaris
62,lactatiformans
63,lenta
64,longicatena
65,longum
66,massiliensis
67,merdae
68,multiformis
69,noxia
70,obeum
71,onderdonkii
72,ovatus
73,paracasei
74,parvula
75,pectinoschiza
76,piger
77,plautii
78,prausnitzii
79,﻿propionica
80,﻿propionicum
81,putredinis
82,ramosum
83,rectalis
84,ruminis
85,saccharivorans
86,salyersiae
87,shahii
88,siraeum
89,splanchnicus
90,stercoris
91,symbiosum
92,tayi
93,thetaiotaomicron
94,timonensis
95,torques
96,umbilicata
97,uniformis
98,ventriosum
99,virosa
100,vulgatus
101,wadsworthensis
102,wadsworthia
103,welbionis
104,wexlerae
105,xylanisolvens
